filename,category,score,path
20230207.pdf,TEACHER,3.0,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\20230207.pdf
13998435.pdf,DESIGNER,2.98,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\13998435.pdf
13195436.pdf,AVIATION,2.97,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\13195436.pdf
23734441.pdf,ACCOUNTANT,2.97,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\23734441.pdf
82140102.pdf,AUTOMOBILE,2.95,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AUTOMOBILE\82140102.pdf
28396528.pdf,CHEF,2.94,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\28396528.pdf
30128072.pdf,CHEF,2.92,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\30128072.pdf
13405229.pdf,AVIATION,2.92,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\13405229.pdf
22349169.pdf,CHEF,2.91,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\22349169.pdf
96029688.pdf,ENGINEERING,2.9,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\96029688.pdf
38355831.pdf,AVIATION,2.87,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\38355831.pdf
27902692.pdf,AVIATION,2.86,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\27902692.pdf
12045067.pdf,INFORMATION-TECHNOLOGY,2.84,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\12045067.pdf
39674178.pdf,ACCOUNTANT,2.81,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\39674178.pdf
27662298.pdf,CHEF,2.81,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\27662298.pdf
10176815.pdf,AVIATION,2.8,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\10176815.pdf
15899269.pdf,TEACHER,2.8,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\15899269.pdf
24001783.pdf,AGRICULTURE,2.79,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AGRICULTURE\24001783.pdf
14248724.pdf,ARTS,2.76,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\14248724.pdf
21178545.pdf,FITNESS,2.76,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\21178545.pdf
32318506.pdf,ARTS,2.75,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\32318506.pdf
22990761.pdf,AVIATION,2.72,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\22990761.pdf
22561438.pdf,CHEF,2.71,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\22561438.pdf
93576192.pdf,ARTS,2.71,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\93576192.pdf
29524570.pdf,DESIGNER,2.7,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\29524570.pdf
58915642.pdf,DIGITAL-MEDIA,2.69,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\58915642.pdf
24828381.pdf,CONSULTANT,2.69,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSULTANT\24828381.pdf
37997506.pdf,ACCOUNTANT,2.69,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\37997506.pdf
38154903.pdf,AVIATION,2.68,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\38154903.pdf
98086373.pdf,PUBLIC-RELATIONS,2.64,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\98086373.pdf
95350373.pdf,CONSULTANT,2.63,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSULTANT\95350373.pdf
19284293.pdf,AVIATION,2.63,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\19284293.pdf
27689009.pdf,AGRICULTURE,2.56,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AGRICULTURE\27689009.pdf
30311202.pdf,CHEF,2.56,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\30311202.pdf
28923650.pdf,ENGINEERING,2.54,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\28923650.pdf
16661264.pdf,AGRICULTURE,2.41,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AGRICULTURE\16661264.pdf
